 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Jamie C 	  Very funny family movie that will even please hardcore DC fans as let's face it this is just what DC needed after getting unfairly panned in every film they make lately, It's non stop laughs from the word go and hardly ever slows down, Full of some good animations and action scenes there's something for just about anyone, It even takes allot of shots at previous Batman films and even rips into superman allot too, But it's all in good fun, I can't comment on the 3D as I watched the 2D version, It's better than The Lego Movie and it's hard to imagine anyone walking out of this film disappointed.
 Randy B 	  I loved and appreciated it for what it is. A campy, yet very witty and creative take on Batman, lego-formed. Much of the humor and banter, and speed of which it's said or in song, would be over the heads of many kids -- perfect for adults who appreciate animated movies. However, it's a perfect munchkin machine for collectibles, figurines, soundtrack, and video games.
 Kevin M. W 	  Made for the kids, so the action is fast paced. But there's literally tons of rib-tickling references to previous incarnations of the Bat that most of us have grown up with to make for a fun ride. Worthy.
 Anthony J 	  First half hilarious. Second half drags a little. The kids will love it.
 Frank O 	  I've never been so disappointed. I loved the first Lego movie, but this was trash. The entire audience (of a near full house) was totally silent after about minuet 5 or 10 (after the movie demolished all the good will that the first one had generated.)
 Brockney E 	  I love this character
 Ps J 	  an okay movie for people who love masturbate to self-aware jokes
 Jazzmin M 	  The Lego movie was amazing! The Lego Batman is not to so amazing. It's a redbox movie. Too much of the Lego batman being a Lego batman. It's not funny. I barely chuckled.
 Johnny N 	  Taking sarcasm to a Batman level.
 Ruthanne R 	  This was an absolute blast. Far cleverer than expected; Robin was not annoying; Barbara Gordon was amazing; and there are DALEKS.I'm gonna have to own this one on Blu-ray.
 Michael J 	  Not nearly as good as the first one. It's not even close.
 Ross V 	  Cute jokes and Batman references poorly tied together by something resembling a plot.
 Yogs B 	  If you're going to make a Batman movie funny, you have to do it right. With humor from old movies, (1966 Batman movie joke and bat shark repellent got me laughing.) Anyway, they did a good job with casting and everything in general. There was emotion and happy funny times, great movie
 Garrett C 	  really great movie and funny from start to end.
 Leo K 	  Funny, awesome, and doesn't give up batmans character even until the end (too much). The 3D graphics are intensely amazing! So intense, that it is overwhelming how much stuff is going on at times - TOO much stuff. But otherwise, everything is AWESOME!
 William C 	  When The Leggo Movie came out three years ago, the Batman character/avatar/whatever these things are called stole the show, so it was only natural that Warner Brothers studios went back to that well for a follow-up. It was certainly worth the trip.Teaming up with DC Entertainment, The Leggo Batman Movie is now out, and while it is not quite as over-the-top as Monty Python's work, its deadpan delivery is not far from that particular edge. The film skewers the Dark Knight legend, turning all the heavy material inherent of that franchise inside out with hilarious results.In fact, Batman might better be called "Basket Case" in this story. His childhood as an orphan has definitely led to some over-compensation, and he is a bundle of insecurities who would prove to be any Freudian's wet dream. Most men work out to acquire six-pack abs; he has a nine pack. His loner status, which he shares (or thinks he shares) with Superman, just makes him that much more mysterious and scary. And alone.And the less said about the homoerotic aspects of his "relationship" with the Joker, the better. On top of the gags and innuendo are references to earlier iterations of the "caped crusader." Of course, there is a bit rooted in the mid-sixties eye candy TV series, but this one even reaches back to the 1943 film serial renditions for its fun.This movie is an absolute howler, especially for parents and grandparents. Get thee to a Bat Cave!
 Carley E 	  Now I loved THE LEGO MOVIE and expected so much more from LEGO BATMAN. Needless to say, I was disappointed. The script was not near as smart as the first film about these colorful pieces of plastic and even grew repetitive and boring. Ah well. Wish I'd just waited to see it on my little screen.
 Robby K 	  Maybe I'm dead inside, or maybe we were so spoiled with "The Lego Movie" that any follow up would feel inferior. It's too enthused with itself to be consistent, ultimately making it the movie equivalent to that one guy who busts a gut and slaps his knee after every joke he tells. It has its moments, and if you temper your expectations, you'll leave the theatre happy.
 Mark O 	  Liked it as much as The Lego Movie!
 Connie G 	  Super cute family fun that will entertain adults as much kids! They nail the over the top cheesy-nature that is batman, while developing other, more multi-layered characters to support the film. Would definitely see it again!
 Dusty P 	  I could not have been more disappointed. I loved the Lego Movie and the character of Batman. But like Will Ferrell, a little bit of Lego Batman goes a long way and a whole movie is too much. There were moments, but those were in the trailers. Will Arnett is great but the film suffers from the villains. Batman has arguably one of the greatest group of villains than any other superhero (outside of Spider-Man) and they almost completely abandon them. The Joker is good and the references are funny at times, but all together fails to deliver.
 David D 	  Even better than The Lego Movie.
 Cristian P 	  The Batman Lego Movie is filled with masterfully crafted animation, comedy, and surprisingly emotional scenes that left me with the biggest smile coming out of the theater.
 Ronald H 	  Cute - boring - fell asleep in the middle (literally) -- mostly adults laughing during parts I was awake.
 Brittany h 	  Very cute family movie.
 SuperJisan Z 	  This was a bad movie and rather boring. The plot was confusing and overcomplicated. It might have been too over the top in its not being serious.
 Chad S 	  Best Batman movie (not really, but very good)!!!
 Brandon R 	  Great laughs for everyone.
 Ross W 	  Silly, fun, popcorn movie only slightly awkward because Batman talks in the same syntax as Trump
 David D 	  Great movie, great Batman movie and just great fun for all ages young and old.
 Tyson H 	  I could see this movie again and again. Wonderful characters and story development for a movie made out of a toy. 100% recommend seeing.
 Bryan C 	  It's not quite as good as the original "Lego Movie" in terms of appealing to a general audience, but if you enjoy superhero movies -- and particularly Batman movies -- this is a fantastic, silly spoof.Grade: A
 Daniel M 	  Interesting and fun Batman film.
 Cort J 	  Fun for kid and adults (hell likely more fun for adults)
 Johnie D 	  Good movie with a nice message, however it lacks the excitement of the first
 Jakeywakey 8 	  The humour is amazing the characters are amazing everything is good about this movie
 A.D. O 	  love love love robin so much. and batman kept reminding me of trump- ugh. good spinoff of the levi movie, great mockery of the super hero cliches.
 William F 	  It's cliche and over the top, but it's aware of itself in a way that doesn't hurt the film at all. If anything, this is a great comedy that also plays a great tribute to all of Batman's history, while managing to even deliver some emotional moments in this insane story. If you're a fan of Batman or Lego, you'll definitely love this film.
 Gareth D 	  What was once so original in The Lego Movie no longer is, it's still a decent film, frenetically paced and sometimes trying too hard to be irreverent, but fun and pretty witty. Worth a look.
 A G 	  Great humor for adults, but the fight scenes have to much going on, no good one on one battles. The slow scenes were actually the best. Action scenes hard to follow. Overall good movie.
 Spencer S 	  I don't know if I'm crazy or if the critics are. This movie was absolutely terrible. There were some redeeming qualities like funny movie references, occasional humorous jokes, and the first like 20 minutes. Other than that this movie is absolute garbage. I feel like that since this is a movie for five year olds and critics are forced to watch it, that 90 percent of them went to a bar and drank five gallons of beer before watching this movie. The other ten percent actually saw this movie for what it was. There is literally no other explanation to the highly rated reviews. There is so much crap and annoying, repetitive sounds thrown on the screen and it's just so sloppy and poorly done. This movie also has jokes that are repeated throughout the movie way to much which gets really irritating, and most of them don't even land for people over 6 years old. Trust me when I say this, this movie is a disaster and gave me a massive headache and if you have any type of common sense and your not a little baby then you will get one too.
 Ben H 	  Now Ben Affleck has really huge shoes to fill in, how he's gonna top Christopher Nolan's, or even this Lego Batman, that turn out to be quiet awesome...Q : How do you remake an almost masterpiece?A : You don't!
 Benjamin F 	  Hilarious. Especially if you're a Batman fan and get all the Batman movie references
 Angela B 	  I hate what they have done to the Batman character. He's too dark and obnoxious. Throw brought back the levity and fun of the character. My granddaughters and I laughed from beginning to end! We loved it!
 Tyler H 	  The movie has lots of laughs and lots of great batman references. A good film but not on the same level as "The Lego Movie". Batgirl definitely not my favorite either the story would of benefited better with a different story arch.
 Matthew B 	  You know DC f**ked up big time when a movie staring Lego figures started off a better cinematic universe than your live action movie.After the surprise that was "The Lego Movie", which was my favorite animated movie of 2014. So of course I was looking forward to this. When the team behind "Morel Orel" is directing your movie, it's going to be special. Now while I liked "The Lego Movie" a little more due to the writing and it's clever hidden message, but still."The Lego Batman Movie" is the best Batman movie since "The Dark Knight" and that's saying a lot. With it's bright warm colors, fast peace, and some many pop culture references for its humor. There was even a Pulp Fiction reference that I'm not sure many picked up on. It's a movie for both kids and adults. All of the Lego movies have two things in common which is heart and team work. It's really smart and goes as far from being just a kids movie.Heck, I almost teared up at point. That's right folks, I nearly cried during a movie staring Lego's. Wow.Will Arnett as Batman might be my third favorite portrayal of the Caped Crusader. Just the voice, emotion swings, and his cocky attitude is basically Batman in a nutshell. While a funnier version, but also an interesting and compelling one. By focusing on family and the loneliness of Batman. The movie itself makes fun of Batman's history with Adam West and Schumacher movies, but also being somewhat respectful as well.And who would've thought Zach Galifianakis was going to be a solid Joker. Galifianakis was having a blast with this, but also putting his own take on the character as well. The Jokers evil plans in the movie are so absurd and silly that somehow fits. It's perfect for the relationship between him and Batman. Making it a anti-romantic spoof.All of the other cast all did a fantastic job. Michael Cera was great as Robin and had excellent chemistry with Will Arnett. Rosario Dawson was pretty good as Batgirl / Barbara Gordon. And Ralph Fiennes as Alfred was spot on, but kind of a wasted opportunity that he didn't reprise his role of Voldemort by voicing him, because Voldemort is in the movie. Oh well.The animation is both really stunning and gorgeous. It's impressive that they once again made it look like it's stop motion animation with the power of CG. You can see the little details that you won't catch on your first watch. The finger prints that are clearly seen on the characters and the movement you would see in stop motion. I'm just be glad it's not the cheap looking direct-to-video animation that every movie starring Lego has been doing.My only issue with "Lego Batman Movie" is the pacing. As I said before, there are some many pop culture references and all of them are funny, but the film goes by so quick it's easy to miss them. It doesn't give you much time to breath. So while your laughing at the joke, it will then make two or three more jokes. I literally wanted to say to the movie "Please, slow down a bit". But I can see this easily been fixed by re-watching it, which may help.Overall rating: Everything Is Batman!
 Andrew S 	  Outstanding fun for the whole family
 Stephen B 	  Great kids movie! Highly recommend.
 Bobby N 	  Fast-paced and action packed for a cartoon. Few laughs. Catered more to older kids.
 John Mikkiah T 	  Best movie I've seen this year! The comedy was hilarious, the animation was awesome, the plot is excellent & the characters are so much fun! Another great edition to the Batman movie franchise & the Lego movie franchise!
 Darrell B 	  Honestly my expectations may have been too high because of comments from others who had seen the movie and being an avid Batman fan myself. While the animation was spectacular, the story left much to be desired. It wasn't really very funny, with the exception of the few nostalgia moments and had a weak script. I actually walked out before it ended due to boredom.
 Cristian B 	  Though not as fresh as THE LEGO MOVIE, the new movie still provides plenty of clever and satirical humor, in addition to the dazzling animation.
 Gabriel S 	  Superb and Hilarious movie/parody of Batman. A great new installment of the Lego movie universe!!! ??????
 E S 	  After expecting The Lego Movie to be a huge flop, but being proved extremely wrong, I was expecting great things from Lego Batman. I think the trailer gives a really good idea of how the movie is going to be and didn't lead me astray. It also didn't completely showcase all the good parts of the movie. As a big fan of Batman comics, movies, and DC as a whole, this movie completely catered to me while being appropriate for children. The film doesn't take itself too seriously while also giving Batman character development. I highly suggest this movie for anyone interested, especially lovers of the DC fandom.
 Calvin E 	  I liked it. I laughed out loud alot. Robin's portrayal was weird and took away from the movie a little. Overall, too long of a movie. You can only handle so much lego in your face action. Also, some of the animation was not very smooth. Batman himself is so funny though.
 Benjamin B 	  Not nearly as good as the Lego Movie. Fell asleep towards the end.
 AJ%20 R 	  I found The Lego Batman Movie enjoyable! It has a lot of great refrences from previous Batman movies, funny jokes, and lots of action. Defentily worth seeing.
 Martin B 	  This is the best Batman movie ever. Full stop (I'm now introducting this phrase into my daily conversation). I don't think this point is debatable, but just in case it is, I argue that this is, at the very least, the most fun.On eh this, as Poppy said on Seinfeld, there is eh, no debate eh!I do not remember enjoying myself this much watching a movie. It's been a long time since my eyes were this wide open and bedazzled. The kinetic energy was intoxicating. Joker was hilariously needy. Every other character was pitch perfect (Where do they get these wonderful actors?). The script was aces, crackerjack, self-aware, fourth-walling, sly and fun, filled with references to, well, everything in the known universe, but especially the previous Batman movies (and Suicide Squad! Ha! What a dig!) and loads of 80s pop culture on a higher degree than the greatest current show in the universe: Stranger Things.I sensed that the movie had a very Robot Chicken vibe. Indeed, I later discovered, the film's director is a veteran of the series! Nailed it! I also really like its teamwork message for kids, and it's non-heavyhandedness in dealing with loss. They kept it real from that standpoint.I also really, really, really love the script. I have to read it. It's not available. Somebody find it for me.While you're doing that, I'll go work on my 9-pack.
 Kristian T 	  Not great. Typical sequel fashion applies to this movie. Very cheesy jokes that don't mesh well with the rest of the movie and forced humor, really make this movie just feel like it's trying to hard to be the first lego movie. Graphics are still great, story line was pretty good for a lego sequel, just was not what I expected or wanted, but still alright.
 Pete P 	  Em....this movie was not a good one. First Lego film was well written and contained witty, intelligent, and agreeable social commentary. This film fails as a kid's story and the sometimes-funny adult focused comedic elements are not well integrated into the story. My nephew and niece didn't like it and I found myself looking at my watch about a half hour in. I really felt like I paid good money for an advertisement. And so ends my Lego movie enthusiasm.
 Daniel M 	  Lego Batman is a brilliant, self aware, over the top comedy.
 Peter M 	  A friend of mine recently asked why this movie got better reviews than the last few DC movies and my response was "Perhaps because it doesn't take itself so damned seriously?". Turns out I was absolutely right!! If you're tired of "grittiness" in your superhero movies, then I highly recommend this one!
 Dave R 	  I liked the original Lego Movie, but I didn't love it. The same now goes for Lego Batman movie, as i give it a like not a love. The first half of the movie is way better then the second. The clever lines and sights come fast and furious, so don't blink at all. However, the second half tries to do much the same and there lies the problem. The second half of the movie doesn't bring anything new to the table really. The overall story is clever enough, but the rough voice talking, loner, self absorbed Batman just simply grows tiresome, and you know exactly where the movie is headed by the end. If you liked the first Lego movie and thought that the Batman character was fun in that one, you will likely enjoy it, if not, stay away from this one.
 Mahdi H 	  There are two favorites Batman versions, this one and the ordinary one(like in justice league dark) whom became the one in (the dark knight returns) maybe, Batfleck will be the second one. Anw this movie is a blockbuster~
 Louise D 	  Preferred the first half, before Batman starts learning his life lessons. Also lacking the unexpected charm and originality of The Lego Movie. The jokes and animation are top drawer though, much better than they needed to be for a kids' movie.
 James W 	  It's a kids film, there's a message and it's really hammered home but it's a kid film, I'm not expecting some complex twisting plot. It's fun and that is what is important. Okay what was up with calling the batman villains C listers, they're the best!Fun gags, bright colours, lots of action, fun cameos, and plenty of previous batman incarnation references make this a fun films for kids and an amusing watch for batman fans.
 Chris M 	  I'll Turn Two-Face Into Black And Blue Face! -BATMAN
 Official C 	  The amount of jokes and quips in this movie is countless, but that is also where the movie falters, as it does get overly exhausting at times. That being said, "The Lego Batman Movie" has the same tone as the first movie and is consistently engaging.
 Amanda W 	  The was like a PG-rated episode of Bojack Horseman. It was probably way more fun for adults than kids!
 luc h 	  Batman's spin off episode to the Lego Movie in my opinion worked beautifully, it was funny, engaging and it had easter eggs for DC as well as Marvel fans, a great film for the kids but with hidden jokes slipped in for the older ones in the cinema.
 Edward C 	  Not as good as you'd expect. Longer than you can endure.
 Edmarc H 	  Fun movie. Simple plot. Batman v one dimensional.
 Loni G 	  This movie was awesome! Giggled the whole time.Pew Pew Pew ??
 Aiden M 	  So good had humor and heart!!!
 Jacob B 	  #Zach galifinakis is #Joker was ok. # #MichaelCera #Robbin was just right...lol...Must reach to catch all the jokes. Over all good job, and great references. Excellent cast, and #TwoFace is the same acer from #BatmanReturns.
 Vuong B 	  absolutely hilarious
 Colin K 	  Hilarious!!! The first 15 minutes is the best thing DC has ever done with movies!
 Thomas H 	  Jurassic Park and Lord of the Rings are two of my favourite franchises, Batman usually has some of the best movies/cartoons, The LEGO Movie was really really funny and had genuine nostalgia/heart put into it, I'm a big fan of most of the cast, so by all logic this should be a damn good movie for me.But it isn't, in fact it's the only blockbuster movie I've actually fell asleep while watching at the cinema. I don't understand the critic's praise, it's very over-rated.The problems: The Joker is terrible, the voice really doesn't fit and it has to be the lamest incarnation to date. I'm not expecting Heath Ledger or Jack Nicholson but this Joker is Suicide Squad levels of making you curl up in embarrassment at the film. They have so many Batman villains in the film...that show up for 5 minutes, and then add even MORE villains who aren't even related to Batman, which sucks! None of these villains get any development except for the Joker, and it's just so boring and nonsensical to have Voldemort and Sauron in the movie because they couldn't put a good BATMAN story together. Batman also raps too much (what is this, the 90s? who still finds that funny?) and the 'meta' humour comes across like a 9 year old's Twitter memes. The whole thing just becomes so exhausting cus they try to throw so much at you in terms of villains and action to distract you from the fact that there's not much to see.You could remake the whole film with any Lego characters and I wouldn't be able to tell the difference. And the 'emotional' plot where Batman is lonely etc etc? It's basically just child neglect the movie and then some stuff shoehorned in at the very end which feels so tacked on it's like they did it in the last 10 minutes of editing. I'll give it some credit for having a good joke once in a while, but it in no way makes you laugh often unless you find butts and white guys rapping badly funny. The referential humour gets pretty tiring after the first half an hour, especially with the unnecessary overload of other universes. Should you go and see it? Nahnahnahnahnahnahnahnah....
 Fernando C 	  batman is my favorite superhero! and I have to say this movie was a totally blast experience for me, loved it, the references, the jokes, the characters, damn this movie is awesome, forget batman v superman, this is the batman movie weve been waiting for.
 Jason A 	  The story, as expected, is what rises this film to one of the better films of the year.
 Hunter B 	  Laugh out loud funny
 Trent G 	  Loved the opening, until the jerk kid behind me kept interrupting the rest of the movie, so I wish I could have enjoyed it more. Some great in jokes & manic humour.
 Happy The Fox  	  Probably my favourite movie so far, I was never a huge fan of batman but after this I was obsessed! Enjoyable for everyone
 Michael W 	  I had VERY HIGH hopes/standards for this film and while it was VERY GOOD it was not GREAT. Perhaps a re-watch at a future date will allow me to uncover some aspects that were missed on the first viewing-2/20/17
 Rosie C 	  This might be the single best DC hero movie every made.
 JuanKa P 	  Lego Batman deber salvar a Ciudad Gtica una vez ms, pero solo lograr hacerlo con la ayuda de sus amigos. Esta vez el Guasn se ha propuesto traer a las peores enemigos de la humanidad y solamente, cuando Batman deje de lado sus inseguridades, vanidades y temores, Batman aprender a pedir ayuda a sus amigos y superar al mal. Muy divertida!
 Peter W 	  fun. not gonna be talking about it in the office, but a nice way to burn a couple hours on the weekend with the kids.
 Cliff J 	  The beautiful thing about a Batman parody via Legos? No back story or realism are required. It would seem that every joke and reference are teed up for you (not to mention a seemingly unlimited special effects budget). But this story actually would have benefited by being a bit more constrained. They did not need every WB villain of all time. They did not need to try SOOO hard. They did not need to undercut the suspense by making it clear Batman always wins. A simple Batman story would have worked. Anyway, I still laughed, but when the funniest lines are in the trailers...
 Eric P 	  This may be no Citizen Kane but it was pretty good.
 Mathew H 	  Very funny and entertaining
 Rebecca F 	  I absolutely love this movie. All of my friends loved it too. I actually cried laughing at one point. It also really touched me emotionally, and I think they got most of the characterization pretty much perfect. The whole theater really enjoyed it!
 Jacob S 	  I really enjoyed the LEGO Movie, but I didn't see LEGO Batman as such an important role so I feel him receiving his own film is ultimately unnecessary.
 Nico A 	  this movie was one of the best animated movies I ever seen. but theres a big problem.The balance of the movie between the action and the jokes is not well balanced the action is much more put and only see 5 or 3 jokes in the movie. But the truth if I love this movie
 Kaelyn S 	  Loved it. Humor was great for all ages but I'm confused as to why it had the same plot as Holy Musical B@man.
 Joshua M 	  Come in for the fun, and stay for it, too! Ignore Zack Galifinakis' Joker and the plot (because it's kinda very lame and dumb), and you'll have a good time. Some of the best humor of the flick came from the references to Batman's lore, both past and present, especially those references and sight gags related to the character's cinematic history. I have not laughed so hard at a comedy in such a long time. The other voices actors in the cast acquit themselves nicely, but I favored Michael Cera as Robin/Dick Grayson the most.
 Sara B 	  The husband and the guy friends liked it a lot. Me, meh it was okay.
 Don W 	  Kids are going to love this. Adults are going to love this. Just like the first movie, there's a perfect blend of Shiny-Happy-Colours!! and subtle references to Batman lore that will leave you in stitches. Seriously - those who've followed the character in comics, or on TV going back to Adam West are going to love this.
 harmy h 	  pretty cute kids movie
 Frazer M 	  batman quote:I am vengeance I am darkness I am batmanjoker quote:you ever with the devil in the pail moon lightjoker quote:oh I'm not dunna kill ya I'm just gonna hurt you really really badbatman quote:Rachel rachel!!!!!!!!
 Michael B 	  LOVED it, at this point Im ready for Lego to just take over the Batman Franchise because they KILL IT!!! Best Batman I've seen in years. This is a film that will entertain all from 4 up! Just perfection
 Jonathan D 	  I liked this "Sequel" to the LEGO movie, but I didn't like it nearly as much as the LEGO Movie. It starts off very funny, but loses some humor in the middle. Robin is probably the funniest part of this movie. Still fun, just not as good as the LEGO Movie.
 Jamie K 	  An energetic and funny take on a classic character.
 Joshua T 	  I loved this movie this movie is for all ages and it very funny
 clara c 	  best goddamn movie i've seen in my life
 Karla D 	  Too dumb for kids and adults. Nothing to do with its predecessor The Lego Movie. Its pretty much de same animation, but without the heart, the inocent comedy, the likeable characters and inmature.
 Jeff A 	  A hilarious, tremendous love letter to Batman.
 Dorian G 	  Very fun, for adults and kids alike. Expands on the Lego Movie universe, mostly with Batman, obviously, but throws in a slew of other DC Comics heroes for good measure. Plenty of witty humour, and good quick jokes for the kids. Good use of music, and fun "master builder" segments. Overall, not quite as good as the first Lego Movie, but definitely still worth watching. Watched at Westhills Theatre with Priscilla, Tim, Amelia, Ethan, Chase, Natalie, Adrienne, Katherine, Makayla, Marlowe, and Sam, February 18, 2017.
 Carlos G 	  Headache. Gave me a headache. Very few laughs on audience.
 Zack V 	  I LOVE IT!!!! Make a sequel, And the actors Are terrific, And Of course, Batman Hits The theatre With A lot Of people. THE TICKETS ARE SOLD OUT ALL THE TIME!!!!
 Sam W 	  An entertaining, fun and enjoyable onslaught of action, comedy, colour and music. Good story, great acting and superb range of characters from a variety of sources, but it does cram a lot in and it does lay the moral of the story on very thick. Spectacular to watch with a great selection of humour throughout.
 John D 	  That's how you do it! take note Snyder!! best batman film since the dark knight
 James C 	  funny batman lines are frequently delivered and maybe abit to much, despite featuring some good moments, the general storyline was disapointing
 Smashproplaya ! 	  The original is better, but this is still pretty good.
 Michael R 	  As much as I loved the first movie, this one disappointed a bit. Yes it was funny, but it felt dragged out, and used other elements from different superheroes to beef up the story line, which distracted it from Batman, the main character. Think its one of those that I may need to see again, and hope I will like it more a second time.
 CA Cougar M 	  The first GREAT movie of 2017!
 Cort H 	  Really funny! Pretty sure the adults liked it even more than the kids!!
 Richard Y 	  Story and premise miles better than the real life Batman movies. Filled with satire, funny in places, moving in others, quite original.
 Aaron E 	  Everything is awesome... again. Sharp, hilarious, brilliant animation, touching story, and rewarding for all, from the youngest viewer to the deep cuts DC fan.
 Yovani V 	  This movie understands its characters and source material, like nothing since the dark night, and truly delivers a funny yet remarkable production with an interesting protagonist.
 Denislav R 	  Why can't all DC movies be like this one.... Very funny, beautifully animated, random at times, very funny, funny. In top 3 commercials I've seen and my third favorite Batman movie. Batman himself was a very refreshing version of the character. He did still come with his mommy and daddy issues, but they were kept to a tolerable amount. They are in fact the only reason this movie isn't 5 stars. Most of all I love how the movie didn't take itself seriously. I want to see more Lego movies. I already bought like a hundred of Legos anyways....
 Camille L 	  Pendant 20 minutes, The Lego Batman Movie est plutt drle, intelligent et plutt intressant dans sa (d)construction du mythe de Batman. Malheureusement, le film de Chris McKay en dure 1h44. Rythmer un film  raison de cinq gags rfrentiels par minute est trs compliqu et force est de constater que Lego Batman se plante dans les grandes largeurs. Le film passe alors d'intelligent  pnible, un peu  l'image de Will Arnett en Batman, d'nergique  excit et de potache  cynique. L'intrigue principale est carrment stupide, les enjeux dramatiques peu engageants et le casting vocal moyen. Reste alors l'originalit de l'entreprise, difficile  contredire. Chris McKay est ralisateur pour Robot Chicken. Peut-tre aurait-il mieux fallu prendre les scnaristes pour russir le film.
 Brett B 	  Everything is still awesome.
 Mohammed A 	  could not stop laughing , great movie
 Gary B 	  Really funny film from start to finish. The humour is a great mix throughout. The references to older Batman's and other franchises are brilliant.
 Alejandro C 	  Lo mejor son los personajes y alguno de los chistes. Ahora, reconozco que se me hizo un poco larga. Quizs es porque la vi con bastante sueo.
 Nicolas B 	  So funny ! I never thought i'd laugh so much on a Batman movie !!
 Brian N 	  It was a fun movie that was quite amusing. Lots of Batman jokes. It was a good story. Definitely worth a watch for everyone.
 Nick E 	  Relentlessly funny and touching at times; The Lego Batman Movie caters to both die-hard fans and newcomers alike.
 Tiffany K 	  one of the very few movies I walked out on half way through. it's truly unwatchable which is a shame bc I liked the original.
 Jc F 	  Love love loved. If it wasn't for the over the head message beating I would have given it s full five, but I'm glad that part was in there for families.
 Jerome K 	  Even though I consider The Lego Movie from 2014 to be slightly better (it was a little more focused, meta, and heartfelt), I still had a blast watching this spinoff. You don't have to know much about Batman to enjoy the high energy action and marvelous animation, and there is a plethora of Easter eggs for fans. Even though it's a parody, it's still a love letter to Batman at the same time. I especially loved all the nods to every incarnation of Batman, whether it's the comics, movies, or TV shows. The idea of Batman struggling with working alone or with family/friends has been done many times before. The downside of being a fan is that it does get tiring in this film considering how it's one of the main plot points and constantly brought up. Nonetheless, the story will hold your attention from start to finish, and it's a great time for kids and adults.
 David D 	  Loved this movie! Great humor throughout. A joy for kids and adults to watch. Animation is fantastic, Arnett does a great job voicing Batman. Perfect combination of action, humor, and good heartfelt messages. I honestly can't think of a reason not to give it 5 stars but I'll keep it at 4 1/2 in case I'm forgetting something :).
 STCENTERPRISE . 	  The Lego Batman Movie (2017)The movie was great at the beginning. The film starts of with an adrenaline rush of laughter but half way through the film and it was just went too much. The film went all big showed all it's cards at the beginning so much so that there were no further surprises after the first 30 minutes of the film so anything else that comes after the first thirty minutes is no longer a surprise.I though that this film did a great job understanding the genre of Batman but after a particular point it just came too much. It went too quick to go too far as far as the jokes. The film did not know where to stop. The end resolution was ridiculous. I enjoyed & liked the fact that this film at least understood the Batman genre. It was obvious that a lot of research and fandom went into this film as far as the story, the characters, incorporated obscure villains, the obscure details from the previous reiterations, even up to the film score that incorporated elements and ques from the previous reiterations of Batman. Especially in the track "Battle Royale" done by Lorne Balfe. Great film score as well as the other songs in this film soundtrack. I enjoyed the fact that this film was able to incorporate obscure villains and references of the previous Batman reiterations.The depiction of the action was extraordinary. I was disappointed by how little there was so little of the Justice League. I did want to see more than just a party scene. I wanted to see more interaction.This one did more psychoanalyze Batman/Bruce Wayne family issues. This film went from high energy to a sudden dip because went so high. It was like the film started off with someone drinking a energy drink like Hammy in the Over the Hedge film but then eventually after you have a party the audience is like okay we have heard that. We went so high that there was no where else to go but down. This film had far too many jokes and gets exhausting and too much. I think it would have been better if there were a little more serious issues intermixed to the laughter to keep it focused.I wish that this film worked more on the other villains besides the Joker. This film had so many villains but not enough to get you invested in the other villains besides The Joker. This film did draw on too long on too much drawings. There may have been just a touch too much talking roles by Batman. I wish we saw a little more of Bruce Wayne and less of Batman. This film had plenty of Batman and not enough focus on the villains. This film understands his distance he tries to get from the rest of society so he does not emotionally invested in other people. Those who suffer from ADHD, are not big fans of Lego or Batman may not be a fan of this film because they will not understand the references.
 Eric M 	  It was just okay. They showed most of the funny parts in all the TV movie previews. The whole "being alone act" of Lego batman just became old after a while.
 Paula O 	  Shark repellent, Voldemort, 60's Batman, constant sarcasm and so many jokes I couldn't keep up with them all - what's not to love!
 Bo K 	  Overall The Lego Batman Movie was fairly good. Was honestly a little disappointed in it considering The Lego Movie was fantastic. The Lego Batman Movie had some very funny scenes and some great Easter eggs for the fans but also had some stretches that were pretty boring. Animation was great, story was good, and the voice acting overall was okay. A big step down from The Lego Movie but it was overall a fun and enjoyable watch.
 Jeffrey O 	  It was okay. Not as good as the first Lego movie.
 steve h 	  Either the writing was poor or the delivery was off. Not even close as funny or fun as The Lego Movie. I will say it finished strong but it took 80 minutes to get there. One of the funniest parts was in the opening credits which is sad.
 Laura D 	  Entertaining. Did not carry the same punch as The Lego Movie.
 Daniel C 	  Even more than its predecessor, The LEGO Batman movie balances wit, humor, thematic import, economic storytelling, and dazzling aesthetics to make for a great film.
 Matt S 	  This was an absolute must see for kids and adults. This movie was hilarious.
 Dylan C 	  A funny, and well made Lego film. It did a great job making fun of previous Batman incarnations. Will Arnett voices an excellent Batman. The movie presented the Batman-Joker relationship expertly.
 Yash B 	  This movie is nonstop fun from beginning to end. Batman was one of the best parts of "The Lego Movie" and giving the character his own movie was a great decision. I found myself laughing hard and frequently throughout this movie. It's a movie that people of all ages can enjoy together. It also has some nice heartfelt moments which are expected in an animated movie. I found many of the action scenes to be engaging and all of the jokes were clever and funny. I do think that the story does meander for some parts of the movie and slows down in places. However, when this movie is going, it moves insanely fast and keeping up with it is a blast.
 Nolly S 	  if I could give this a - I would this whole movie is based on the dull witted batman lonely hero. I slept through this move. trust me, it is so overrated
